iter	Accuracy	MultiClass
274	0.8704387489	0.3664496329
275	0.8706559513	0.3661768632
276	0.8717962641	0.3654301433
277	0.8720134666	0.3652635917
278	0.8719591659	0.3650373521
279	0.8720134666	0.3639052236
280	0.872502172	0.3636915335
281	0.8729365769	0.3627191599
282	0.8731537793	0.3624232418
283	0.8736424848	0.3622777515
284	0.873479583	0.3616978991
285	0.8736424848	0.3610778241
286	0.8744569939	0.3608518257
287	0.8743483927	0.3606478156
288	0.8750543006	0.360411575
289	0.875271503	0.3597515025
290	0.8753258036	0.3593868714
291	0.8752172024	0.3590846181
292	0.8753801043	0.3584413968
293	0.8758688097	0.3578071245
294	0.8765747176	0.3575069009
295	0.8776064292	0.3569457109
296	0.8778779322	0.3566950649
297	0.8778236316	0.3563715958
298	0.8780408341	0.3561590054
299	0.8781494353	0.3554963817
300	0.8786381407	0.3552906499
301	0.8785838401	0.354741775
302	0.8788010426	0.3541401108
303	0.8796698523	0.3537630194
304	0.8798327541	0.3535334304
305	0.8796698523	0.3532795595
306	0.8793983493	0.3531112647
307	0.8797241529	0.3528766668
308	0.8796698523	0.3526644252
309	0.8795069505	0.3521906387
310	0.8798870547	0.3519150379
311	0.8809730669	0.3517205531
312	0.8816246742	0.3515364698
313	0.8816789748	0.3506040245
314	0.8816246742	0.3502808368
315	0.8814074718	0.3494819065
316	0.8819504778	0.3491886213
317	0.8820047785	0.348975225
318	0.8820047785	0.3483709039
319	0.8821676803	0.3481607957
320	0.8821676803	0.3480013114
321	0.8823848827	0.3478080355
322	0.8831450912	0.3474218064
323	0.8835251955	0.3467417539
324	0.8831450912	0.3465563567
325	0.883307993	0.3463296172
326	0.8839596003	0.3461310595
327	0.8846112076	0.3459799528
328	0.8846655083	0.3457716493
329	0.8848284101	0.345357799
330	0.8850999131	0.345020137
331	0.884556907	0.3446342793
332	0.8849370113	0.3442801877
333	0.8853171156	0.3441286173
334	0.8856972198	0.3438230523
335	0.8858601216	0.34327333
336	0.8860773241	0.3428308317
337	0.8870004344	0.3425403928
338	0.8874891399	0.3423692662
339	0.8876520417	0.3418789228
340	0.8878692441	0.3417096218
341	0.8877063423	0.3415324763
342	0.8873262381	0.3413304879
343	0.8875977411	0.3410333486
